"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.0376657899650037,0.0203059780561116,0.0133098256422555,0.0450598555375538,0.0258896056951859,0.037340158852429,0.0269851617294621,0.0251473665107974,0.0139075739771419,0.0162898303570024,0.0351558598223583,0.012327632345634,0.0213427665771445,0.0141637210803823,0.0386147727502189
"2",0.0203059780561116,0.0233148962234416,0.0101300308326695,0.0276521165886248,0.0230799571405396,0.0244668230591621,0.0236558835681084,0.0189480900338775,0.0146243175549659,0.00953159455378746,0.0238170609155521,0.0110770848604622,0.0129097224582005,0.011798914359215,0.0357172775157969
"3",0.0133098256422557,0.0101300308326697,0.00856479818989231,0.0169781168591361,0.0139719116946917,0.013675580654309,0.017991273677691,0.0137579175966356,0.00694643448634321,0.00543400075203689,0.0141243739009273,0.00663322800774977,0.00873991716581656,0.00845896364638517,0.0210531862071149
"4",0.0450598555375538,0.0276521165886248,0.0169781168591361,0.199654394592012,0.0308078162567262,0.071813264061312,0.0365643079404611,0.0363656199305168,0.0192453529699114,0.0291159846591195,0.0651952978139142,0.0176002246591997,0.0263880656550283,0.0191982199182759,0.0610304611536276
"5",0.0258896056951859,0.0230799571405396,0.0139719116946917,0.0308078162567262,0.040555599286148,0.0349600973160656,0.0293434237164277,0.0260425177173586,0.0150397775191897,0.0150533896966349,0.0345811924580887,0.0137538844153115,0.0172665383001064,0.0156393909029672,0.0439332583910591
"6",0.037340158852429,0.0244668230591621,0.013675580654309,0.071813264061312,0.0349600973160656,0.210119825461561,0.0195370763662505,0.0332500767360109,0.0181984445746558,0.0462381360445739,0.17368752555447,0.0142455534944053,0.0227472058343324,0.014871471497403,0.0635822339464802
"7",0.0269851617294621,0.0236558835681084,0.017991273677691,0.0365643079404611,0.0293434237164277,0.0195370763662505,0.0562570129965624,0.0257273837574791,0.015737406925438,0.007393640646767,0.021607676015662,0.0146743787887087,0.0175187561129102,0.0180535894915507,0.0452671446594189
"8",0.0251473665107982,0.0189480900338775,0.0137579175966355,0.0363656199305168,0.0260425177173586,0.0332500767360109,0.0257273837574791,0.0351860448588388,0.0131757757470028,0.0152657325687979,0.0344566793705193,0.0124961590392696,0.0169692211953833,0.016097630257139,0.0416579514510045
"9",0.0139075739771419,0.0146243175549659,0.00694643448634321,0.0192453529699114,0.0150397775191897,0.0181984445746556,0.015737406925438,0.0131757757470028,0.0100823649805594,0.00691122786047783,0.0176260043738741,0.00723065904787883,0.00884364453023483,0.0078500196680569,0.0241002734281726
"10",0.0162898303570024,0.00953159455378746,0.00543400075203683,0.0291159846591195,0.0150533896966345,0.0462381360445739,0.007393640646767,0.0152657325687979,0.00691122786047789,0.0969701953276976,0.04303476798175,0.00532555807868733,0.00974853751954136,0.00757237661375036,0.0200486923031127
"11",0.0351558598223583,0.0238170609155521,0.0141243739009273,0.0651952978139142,0.0345811924580887,0.17368752555447,0.021607676015662,0.0344566793705193,0.0176260043738741,0.04303476798175,0.151403966741314,0.0144593608712946,0.0220387835717332,0.0154023864551896,0.0611273487441784
"12",0.012327632345634,0.0110770848604622,0.00663322800774977,0.0176002246591997,0.0137538844153115,0.0142455534944052,0.0146743787887089,0.0124961590392696,0.007230659047879,0.0053255580786874,0.0144593608712946,0.00756193220510474,0.00809919601564287,0.00788255348149484,0.0259484608461506
"13",0.0213427665771445,0.0129097224582005,0.00873991716581656,0.0263880656550283,0.0172665383001064,0.0227472058343324,0.0175187561129102,0.0169692211953833,0.00884364453023483,0.00974853751954136,0.0220387835717332,0.00809919601564286,0.0130850572545533,0.00943115019496106,0.025676039310572
"14",0.0141637210803824,0.011798914359215,0.00845896364638517,0.0191982199182759,0.0156393909029674,0.014871471497403,0.0180535894915507,0.0160976302571391,0.0078500196680569,0.0075723766137503,0.0154023864551896,0.00788255348149484,0.00943115019496106,0.0119363111298636,0.0265046327595142
"15",0.0386147727502189,0.0357172775157969,0.0210531862071149,0.0610304611536276,0.0439332583910591,0.0635822339464802,0.0452671446594189,0.0416579514510045,0.0241002734281726,0.0200486923031124,0.0611273487441784,0.0259484608461506,0.0256760393105713,0.0265046327595142,0.162529608649222
