"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0.019344603014896,0.0126020176611006,0.00573281633699247,0.0174890536722858,0.0248811999461377,0.0117758794695758,0.0100721531565532,0.0302253346088797,0.0056076052542187,0.0012897630837184,0.0115925495118362,0.00808980890146309,0.0156630102811411,0.0171108698992171,0.00549348416177898,0.0329885943971917
"2",0.0126020176611006,0.00937674509264062,0.0039823909385485,0.0114769911309677,0.0176690716176404,0.00782574191748556,0.00717697161123498,0.021029942355214,0.00411134197862806,0.000816528847341846,0.00777909092753101,0.00547822934081644,0.0110862382441593,0.0115948331532954,0.00386712352911424,0.0236388513003309
"3",0.00573281633699248,0.00398239093854851,0.00188472582916607,0.00515150980995045,0.00795256462878242,0.00344174866725706,0.003382416604952,0.0096757672890149,0.00177138222699043,0.000358207339647841,0.00346404297658697,0.0025917532960213,0.00500518082761995,0.00529314017251056,0.00178588721820069,0.0105609926427952
"4",0.0174890536722858,0.0114769911309677,0.00515150980995045,0.0297108059497987,0.0219427487774797,0.0129394365010349,0.00943978325801779,0.0273333611360672,0.00514223263866982,0.0014546554469547,0.0124224510724743,0.00736214181735469,0.0139093838919976,0.0152030840541495,0.00502444314921029,0.0312794531023645
"5",0.0248811999461377,0.0176690716176404,0.00795256462878242,0.0219427487774797,0.0365433475025665,0.0156411929038554,0.0139283453449257,0.0420957573255854,0.00780202949238551,0.00167355879776209,0.0156044588367702,0.0108678871284345,0.0220382163357272,0.0231556419147327,0.00766259130354655,0.0462203187718697
"6",0.0117758794695758,0.00782574191748556,0.00344174866725706,0.0129394365010349,0.0156411929038554,0.0185607590309217,0.00569102695952307,0.0186751275266281,0.00356790940614972,0.00145296813017738,0.0161907792803645,0.00547067175114284,0.00929524250402299,0.0102797337193493,0.00332863729438869,0.0224373594325714
"7",0.0100721531565532,0.00717697161123498,0.003382416604952,0.00943978325801779,0.0139283453449257,0.00569102695952307,0.00745486093667819,0.0164701937135802,0.00318610654866683,0.000587768331507713,0.00582022433061541,0.0047310953163974,0.00858306404218932,0.00906618588884704,0.00322270612587347,0.018946744709443
"8",0.0302253346088798,0.021029942355214,0.00967576728901489,0.0273333611360672,0.0420957573255854,0.0186751275266281,0.0164701937135802,0.0530773865089879,0.00934936760538266,0.00200771339281561,0.0188019860932535,0.0132642611011148,0.0268789548297244,0.0283190942631541,0.00935523462314309,0.0557973115264187
"9",0.0056076052542187,0.00411134197862806,0.00177138222699043,0.00514223263866982,0.00780202949238551,0.00356790940614971,0.00318610654866683,0.00934936760538266,0.00183641200679351,0.000371958283984854,0.00353989628462863,0.00245254097515529,0.00489439454072153,0.0051454262871285,0.0017137200718489,0.0105067930050934
"10",0.0012897630837184,0.000816528847341846,0.00035820733964784,0.0014546554469547,0.00167355879776208,0.00145296813017738,0.000587768331507713,0.00200771339281561,0.000371958283984855,0.000707510997000821,0.00138553932853363,0.000610648772688793,0.000938107664837096,0.00108454180659218,0.000374337544242473,0.00222694228202268
"11",0.0115925495118362,0.00777909092753101,0.00346404297658697,0.0124224510724743,0.0156044588367702,0.0161907792803645,0.00582022433061541,0.0188019860932535,0.00353989628462863,0.00138553932853363,0.0147411979118479,0.005403898843464,0.00931272109461748,0.0102210150008885,0.00335430121183604,0.0221762692762939
"12",0.00808980890146309,0.00547822934081644,0.0025917532960213,0.00736214181735469,0.0108678871284345,0.00547067175114284,0.0047310953163974,0.0132642611011148,0.00245254097515529,0.000610648772688792,0.005403898843464,0.00464971540324256,0.0066648632107134,0.00721875055604219,0.00259315884147159,0.0153494240482198
"13",0.0156630102811411,0.0110862382441593,0.00500518082761995,0.0139093838919976,0.0220382163357272,0.00929524250402298,0.00858306404218933,0.0268789548297244,0.00489439454072154,0.000938107664837098,0.00931272109461748,0.00666486321071339,0.014289990886083,0.0147948891683794,0.00481625077095807,0.02951996134498
"14",0.0171108698992171,0.0115948331532954,0.00529314017251056,0.0152030840541495,0.0231556419147327,0.0102797337193493,0.00906618588884704,0.0283190942631541,0.0051454262871285,0.00108454180659218,0.0102210150008885,0.00721875055604218,0.0147948891683794,0.0157855226246407,0.00505892299242819,0.03037595715459
"15",0.00549348416177899,0.00386712352911424,0.00178588721820069,0.00502444314921029,0.00766259130354656,0.00332863729438869,0.00322270612587347,0.0093552346231431,0.0017137200718489,0.000374337544242472,0.00335430121183604,0.00259315884147159,0.00481625077095807,0.00505892299242819,0.00182096485251009,0.0104567433699195
"16",0.0329885943971917,0.0236388513003309,0.0105609926427952,0.0312794531023645,0.0462203187718697,0.0224373594325714,0.018946744709443,0.0557973115264187,0.0105067930050934,0.00222694228202267,0.0221762692762939,0.0153494240482198,0.02951996134498,0.0303759571545899,0.0104567433699195,0.0784863868106741
